grid_id,min_x,min_y,max_x,max_y,center_x,center_y,area_m2
5852,121.31641814998986,30.67807742865934,121.32695901569417,30.686799126009088,121.32168857888244,30.68243832035139,976450.6915422821
6118,121.33749988139851,30.67779011700008,121.34804074710283,30.686799126009088,121.3427703106607,30.682294660239595,1008602.511253353
5985,121.32695901569417,30.67787753013918,121.33749988139851,30.68679912600908,121.33222944483448,30.682338368126434,998823.6671257587
5986,121.32695901569417,30.686799126009088,121.33749988139851,30.695808135018098,121.33222944493517,30.691303669241528,1008518.153020157
5853,121.31641814998986,30.686799126009088,121.32695901569417,30.69580813501809,121.32168857920803,30.69130366924099,1008526.2061417756
6252,121.34804074710283,30.686799126009088,121.35858161280713,30.695808135018098,121.35331117638947,30.691303669242615,1008502.1991917714
6119,121.33749988139851,30.68679912600908,121.34804074710283,30.69580813501809,121.34277031066233,30.691303669242078,1008510.1507008908
5854,121.31641814998986,30.695808135018098,121.32695901569417,30.704817144027107,121.32168857920969,30.70031267824345,1008433.8161511444
5987,121.32695901569417,30.69580813501809,121.33749988139851,30.704817144027107,121.33222944493681,30.70031267824399,1008425.7652790807
5720,121.30587728428556,30.68679912600908,121.31641814998986,30.695808135018098,121.31114771348089,30.691303669240444,1008534.3100751424
5587,121.29533641858124,30.68679912600908,121.30587728428556,30.69580813501809,121.30060684775377,30.691303669239897,1008542.4648192556
5454,121.28479555287693,30.68679912600909,121.29533641858124,30.69580813501809,121.2900659820266,30.691303669239332,1008550.670374937
5721,121.30587728428556,30.69580813501809,121.31641814998986,30.704817144027107,121.31114771348255,30.700312678242895,1008441.917821726
5588,121.29533641858124,30.69580813501809,121.30587728428556,30.704817144027114,121.30060684775542,30.700312678242348,1008450.0702882695
5455,121.28479555287693,30.695808135018098,121.29533641858124,30.7048171440271,121.29006598202831,30.700312678241797,1008458.2735520897
5589,121.29533641858124,30.7048171440271,121.30587728428556,30.713826153036116,121.3006068477571,30.709321687244806,1008357.6508006648
5321,121.27425468717261,30.686799126009088,121.28479555287693,30.695808135018098,121.27952511629947,30.691303669238785,1008558.9267441541
5322,121.27425468717261,30.6958081350181,121.28479555287693,30.704817144027107,121.27952511630117,30.700312678241236,1008466.5276143336
5189,121.26415317213328,30.695808135018098,121.27425468717261,30.704817144027107,121.26920392664722,30.700312669505486,966440.7285896492
5323,121.27425468717261,30.704817144027107,121.28479555287693,30.713826153036116,121.27952511630288,30.709321687243687,1008374.1035294045
6253,121.34804074710283,30.69580813501809,121.35858161280713,30.704817144027107,121.35331117639109,30.70031267824508,1008409.815906672
6120,121.33749988139851,30.695808135018098,121.34804074710283,30.704817144027107,121.34277031066395,30.700312678244526,1008417.765196177
6121,121.33749988139851,30.704817144027107,121.34804074710283,30.713826153036123,121.34277031066561,30.709321687246984,1008325.3547349324
5855,121.31641814998986,30.704817144027107,121.32695901569417,30.713826153036116,121.32168857921134,30.70932168724589,1008341.4012067597
5988,121.32695901569417,30.704817144027107,121.33749988139851,30.713826153036123,121.33222944493848,30.709321687246437,1008333.352583722
6254,121.34804074710283,30.704817144027107,121.35858161280713,30.713826153036123,121.35331117639272,30.709321687247517,1008317.4076671187
6122,121.33749988139851,30.713826153036123,121.34804074710283,30.722835162045126,121.34277031066723,30.71833069624941,1008232.9193228332
5856,121.31641814998986,30.713826153036116,121.32695901569417,30.722835162045126,121.32168857921299,30.718330696248326,1008248.9613090602
5989,121.32695901569417,30.713826153036116,121.33749988139851,30.72283516204512,121.3322294449401,30.718330696248866,1008240.9149356119
6255,121.34804074710283,30.713826153036123,121.35858161280713,30.722835162045126,121.35331117639434,30.718330696249943,1008224.9744760836
5722,121.30587728428556,30.704817144027114,121.31641814998986,30.713826153036116,121.31114771348423,30.709321687245353,1008349.5006122306
5456,121.28479555287693,30.704817144027107,121.29533641858124,30.713826153036123,121.29006598202999,30.709321687244234,1008365.8517725127
5723,121.30587728428556,30.713826153036116,121.31641814998986,30.722835162045126,121.31114771348588,30.71833069624777,1008257.0584511816
5457,121.28479555287693,30.713826153036116,121.29533641858124,30.722835162045126,121.29006598203166,30.718330696246667,1008273.405041058
5590,121.29533641858124,30.713826153036123,121.30587728428556,30.72283516204512,121.30060684775877,30.718330696247225,1008265.2063612307
5724,121.30587728428556,30.72283516204512,121.31641814998986,30.731844171054135,121.31114771348757,30.72733970525018,1008164.5913425368
5458,121.28479555287693,30.722835162045126,121.29533641858124,30.731844171054135,121.29006598203337,30.72733970524908,1008180.9333611578
5591,121.29533641858124,30.722835162045126,121.30587728428556,30.731844171054135,121.30060684776045,30.727339705249626,1008172.7369746804
5459,121.28479555287693,30.731844171054135,121.29533641858124,30.740853180063137,121.29006598203505,30.73634871425148,1008088.4367304296
5592,121.29533641858124,30.731844171054135,121.30587728428556,30.740853180063137,121.30060684776214,30.73634871425202,1008080.2426360499
5190,121.26371382146831,30.704817144027114,121.27425468717261,30.713826153036116,121.26898425057574,30.70932168724313,1008382.4060720757
5191,121.26371382146831,30.713826153036123,121.27425468717261,30.72283516204512,121.26898425057747,30.71833069624555,1008289.954713525
5324,121.27425468717261,30.713826153036116,121.28479555287693,30.722835162045126,121.27952511630455,30.71833069624612,1008281.6544914957
5325,121.27425468717261,30.72283516204512,121.28479555287693,30.731844171054135,121.27952511630626,30.72733970524852,1008189.1805037773
5193,121.26371382146831,30.731844171054128,121.27425468717261,30.740853180063137,121.26898425058089,30.736348714250347,1008104.9771477396
6123,121.33749988139851,30.72283516204512,121.34804074710283,30.731844171054135,121.34277031066887,30.727339705251808,1008140.4589627939
5857,121.31641814998986,30.722835162045126,121.32695901569417,30.73184417105412,121.32168857921465,30.727339705250735,1008156.4964635776
5990,121.32695901569417,30.722835162045126,121.33749988139851,30.731844171054128,121.33222944494176,30.727339705251275,1008148.4523401979
6256,121.34804074710283,30.722835162045126,121.35858161280713,30.731844171054135,121.35331117639598,30.727339705252355,1008132.5163377969
6124,121.33749988139851,30.731844171054128,121.34804074710283,30.740853180063144,121.3427703106705,30.736348714254216,1008047.97365433
6257,121.34804074710283,30.731844171054135,121.35858161280713,30.740853180063144,121.35331117639758,30.73634871425475,1008040.03325033
5991,121.32695901569417,30.73184417105412,121.33749988139851,30.740853180063144,121.33222944494341,30.736348714253676,1008055.9647959323
5858,121.31641814998986,30.731844171054135,121.32695901569417,30.740853180063137,121.3216885792163,30.73634871425313,1008064.006668905
