grid_id,min_x,min_y,max_x,max_y,center_x,center_y
6251,121.34804074710281,30.678860691065534,121.35858161280713,30.686799126009085,121.35331117995497,30.682829908537308
5852,121.31641814998987,30.67807742865934,121.32695901569419,30.686799126009085,121.32168858284204,30.682438277334214
6118,121.3374998813985,30.677790117000075,121.34804074710281,30.686799126009085,121.34277031425066,30.682294621504575
5985,121.32695901569419,30.677877530139185,121.3374998813985,30.686799126009085,121.33222944854634,30.68233832807413
5986,121.32695901569419,30.686799126009085,121.3374998813985,30.695808135018094,121.33222944854634,30.691303630513595
5853,121.31641814998987,30.686799126009085,121.32695901569419,30.695808135018094,121.32168858284201,30.691303630513595
6252,121.34804074710281,30.686799126009085,121.35858161280713,30.695808135018094,121.35331117995497,30.691303630513595
6119,121.3374998813985,30.686799126009085,121.34804074710281,30.695808135018094,121.34277031425066,30.691303630513595
5854,121.31641814998987,30.695808135018094,121.32695901569419,30.704817144027103,121.32168858284201,30.7003126395226
5987,121.32695901569419,30.695808135018094,121.3374998813985,30.704817144027103,121.33222944854634,30.7003126395226
5719,121.30587728428556,30.67856786177971,121.31641814998987,30.686799126009085,121.31114771713771,30.682683493894398
5586,121.29533641858124,30.679295491460593,121.30587728428556,30.686799126009085,121.3006068514334,30.68304730873484
5453,121.28479555287693,30.680023121141474,121.29533641858124,30.686799126009085,121.2900659857291,30.683411123575276
5720,121.30587728428556,30.686799126009085,121.31641814998987,30.695808135018094,121.3111477171377,30.691303630513595
5587,121.29533641858124,30.686799126009085,121.30587728428556,30.695808135018094,121.30060685143341,30.691303630513595
5454,121.28479555287693,30.686799126009085,121.29533641858124,30.695808135018094,121.29006598572906,30.691303630513595
5721,121.30587728428556,30.695808135018094,121.31641814998987,30.704817144027103,121.3111477171377,30.7003126395226
5588,121.29533641858124,30.695808135018094,121.30587728428556,30.704817144027103,121.30060685143341,30.7003126395226
5455,121.28479555287693,30.695808135018094,121.29533641858124,30.704817144027103,121.29006598572906,30.7003126395226
5589,121.29533641858124,30.704817144027103,121.30587728428556,30.713826153036113,121.30060685143341,30.70932164853161
5187,121.26912762660474,30.679710624000084,121.27425468717261,30.686799126009085,121.27169115688868,30.683254875004582
5320,121.27425468717261,30.679934079215922,121.28479555287693,30.686799126009085,121.27952512002479,30.6833666026125
5321,121.27425468717261,30.686799126009085,121.28479555287693,30.695808135018094,121.27952512002477,30.691303630513595
5188,121.2679658961783,30.686799126009085,121.27425468717261,30.695808135018094,121.27111029167547,30.69130363051359
5322,121.27425468717261,30.695808135018094,121.28479555287693,30.704817144027103,121.27952512002477,30.7003126395226
5189,121.26415317213326,30.695808135018094,121.27425468717261,30.704817144027103,121.26920392965296,30.700312639522593
5323,121.27425468717261,30.704817144027103,121.28479555287693,30.713826153036113,121.27952512002477,30.70932164853161
6253,121.34804074710281,30.695808135018094,121.35858161280713,30.704817144027103,121.35331117995497,30.7003126395226
6120,121.3374998813985,30.695808135018094,121.34804074710281,30.704817144027103,121.34277031425066,30.7003126395226
6121,121.3374998813985,30.704817144027103,121.34804074710281,30.713826153036113,121.34277031425066,30.70932164853161
5855,121.31641814998987,30.704817144027103,121.32695901569419,30.713826153036113,121.32168858284201,30.70932164853161
5988,121.32695901569419,30.704817144027103,121.3374998813985,30.713826153036113,121.33222944854634,30.70932164853161
6254,121.34804074710281,30.704817144027103,121.35858161280713,30.713826153036113,121.35331117995497,30.70932164853161
6122,121.3374998813985,30.713826153036113,121.34804074710281,30.722835162045122,121.34277031425066,30.718330657540616
5856,121.31641814998987,30.713826153036113,121.32695901569419,30.722835162045122,121.32168858284201,30.718330657540616
5989,121.32695901569419,30.713826153036113,121.3374998813985,30.722835162045122,121.33222944854634,30.718330657540616
6255,121.34804074710281,30.713826153036113,121.35858161280713,30.722835162045122,121.35331117995497,30.718330657540616
5722,121.30587728428556,30.704817144027103,121.31641814998987,30.713826153036113,121.3111477171377,30.70932164853161
5456,121.28479555287693,30.704817144027103,121.29533641858124,30.713826153036113,121.29006598572906,30.70932164853161
5723,121.30587728428556,30.713826153036113,121.31641814998987,30.722835162045122,121.3111477171377,30.718330657540616
5457,121.28479555287693,30.713826153036113,121.29533641858124,30.722835162045122,121.29006598572906,30.718330657540616
5590,121.29533641858124,30.713826153036113,121.30587728428556,30.722835162045122,121.30060685143341,30.718330657540616
5724,121.30587728428556,30.722835162045122,121.31641814998987,30.73184417105413,121.3111477171377,30.72733966654962
5458,121.28479555287693,30.722835162045122,121.29533641858124,30.73184417105413,121.29006598572906,30.72733966654962
5591,121.29533641858124,30.722835162045122,121.30587728428556,30.73184417105413,121.30060685143341,30.72733966654962
5459,121.28479555287693,30.73184417105413,121.29533641858124,30.74085318006314,121.29006598572906,30.73634867555864
5592,121.29533641858124,30.73184417105413,121.30587728428556,30.74085318006314,121.30060685143341,30.73634867555864
5057,121.26147254100016,30.706682574727743,121.2637138214683,30.713826153036113,121.26259318123422,30.71025436388193
5190,121.2637138214683,30.704817144027103,121.27425468717261,30.713826153036113,121.26898425432046,30.70932164853161
5191,121.2637138214683,30.713826153036113,121.27425468717261,30.722835162045122,121.26898425432046,30.718330657540616
5058,121.26267009100003,30.713826153036113,121.2637138214683,30.717917401080275,121.26319195623417,30.715871777058194
5324,121.27425468717261,30.713826153036113,121.28479555287693,30.722835162045122,121.27952512002477,30.718330657540616
5192,121.26524872900005,30.722835162045122,121.27425468717261,30.73184417105413,121.26975170808633,30.727339666549625
5325,121.27425468717261,30.722835162045122,121.28479555287693,30.73184417105413,121.27952512002477,30.72733966654962
5193,121.2637138214683,30.73184417105413,121.27425468717261,30.74085318006314,121.26898425432046,30.73634867555864
5060,121.25665728153471,30.73579022900002,121.2637138214683,30.74085318006314,121.26018555150152,30.73832170453158
6123,121.3374998813985,30.722835162045122,121.34804074710281,30.73184417105413,121.34277031425066,30.72733966654962
5857,121.31641814998987,30.722835162045122,121.32695901569419,30.73184417105413,121.32168858284201,30.72733966654962
5990,121.32695901569419,30.722835162045122,121.3374998813985,30.73184417105413,121.33222944854634,30.72733966654962
6256,121.34804074710281,30.722835162045122,121.35858161280713,30.73184417105413,121.35331117995497,30.72733966654962
6124,121.3374998813985,30.73184417105413,121.34804074710281,30.74085318006314,121.34277031425066,30.73634867555864
6257,121.34804074710281,30.73184417105413,121.35858161280713,30.74085318006314,121.35331117995497,30.73634867555864
