grid_id,min_x,min_y,max_x,max_y,center_x,center_y,geometry,arrival_count
6251,121.3480407471028,30.678860691065537,121.35858161280711,30.686799126009085,121.35331117995496,30.682829908537308,"POLYGON ((121.35858161280711 30.678860691065537, 121.35858161280711 30.686799126009085, 121.3480407471028 30.686799126009085, 121.3480407471028 30.678860691065537, 121.35858161280711 30.678860691065537))",0.0
5852,121.31641814998989,30.67807742865934,121.3269590156942,30.686799126009085,121.32168858284204,30.682438277334217,"POLYGON ((121.3269590156942 30.67807742865934, 121.3269590156942 30.686799126009085, 121.31641814998989 30.686799126009085, 121.31641814998989 30.67807742865934, 121.3269590156942 30.67807742865934))",0.0
6118,121.3374998813985,30.677790117000075,121.3480407471028,30.686799126009085,121.34277031425066,30.682294621504575,"POLYGON ((121.3480407471028 30.677790117000075, 121.3480407471028 30.686799126009085, 121.3374998813985 30.686799126009085, 121.3374998813985 30.677790117000075, 121.3480407471028 30.677790117000075))",0.0
5985,121.3269590156942,30.677877530139185,121.3374998813985,30.686799126009085,121.33222944854634,30.68233832807413,"POLYGON ((121.3374998813985 30.677877530139185, 121.3374998813985 30.686799126009085, 121.3269590156942 30.686799126009085, 121.3269590156942 30.677877530139185, 121.3374998813985 30.677877530139185))",0.0
5986,121.3269590156942,30.686799126009085,121.3374998813985,30.695808135018098,121.33222944854634,30.691303630513595,"POLYGON ((121.3374998813985 30.686799126009085, 121.3374998813985 30.695808135018098, 121.3269590156942 30.695808135018098, 121.3269590156942 30.686799126009085, 121.3374998813985 30.686799126009085))",0.0
5853,121.31641814998989,30.686799126009085,121.3269590156942,30.695808135018098,121.321688582842,30.691303630513595,"POLYGON ((121.3269590156942 30.686799126009085, 121.3269590156942 30.695808135018098, 121.31641814998989 30.695808135018098, 121.31641814998989 30.686799126009085, 121.3269590156942 30.686799126009085))",0.0
6252,121.3480407471028,30.686799126009085,121.35858161280711,30.695808135018098,121.35331117995496,30.691303630513595,"POLYGON ((121.35858161280711 30.686799126009085, 121.35858161280711 30.695808135018098, 121.3480407471028 30.695808135018098, 121.3480407471028 30.686799126009085, 121.35858161280711 30.686799126009085))",0.0
6119,121.3374998813985,30.686799126009085,121.3480407471028,30.695808135018098,121.34277031425066,30.691303630513595,"POLYGON ((121.3480407471028 30.686799126009085, 121.3480407471028 30.695808135018098, 121.3374998813985 30.695808135018098, 121.3374998813985 30.686799126009085, 121.3480407471028 30.686799126009085))",0.0
5854,121.31641814998989,30.695808135018098,121.3269590156942,30.704817144027103,121.321688582842,30.7003126395226,"POLYGON ((121.3269590156942 30.695808135018098, 121.3269590156942 30.704817144027103, 121.31641814998989 30.704817144027103, 121.31641814998989 30.695808135018098, 121.3269590156942 30.695808135018098))",0.0
5987,121.3269590156942,30.695808135018098,121.3374998813985,30.704817144027103,121.33222944854634,30.7003126395226,"POLYGON ((121.3374998813985 30.695808135018098, 121.3374998813985 30.704817144027103, 121.3269590156942 30.704817144027103, 121.3269590156942 30.695808135018098, 121.3374998813985 30.695808135018098))",0.0
5719,121.30587728428556,30.67856786177971,121.31641814998989,30.686799126009085,121.31114771713771,30.6826834938944,"POLYGON ((121.31641814998989 30.67856786177971, 121.31641814998989 30.686799126009085, 121.30587728428556 30.686799126009085, 121.30587728428556 30.67856786177971, 121.31641814998989 30.67856786177971))",0.0
5586,121.29533641858124,30.679295491460593,121.30587728428556,30.686799126009085,121.3006068514334,30.68304730873484,"POLYGON ((121.30587728428556 30.679295491460593, 121.30587728428556 30.686799126009085, 121.29533641858124 30.686799126009085, 121.29533641858124 30.679295491460593, 121.30587728428556 30.679295491460593))",0.0
5453,121.28479555287691,30.68002312114147,121.29533641858124,30.686799126009085,121.2900659857291,30.683411123575276,"POLYGON ((121.29533641858124 30.68002312114147, 121.29533641858124 30.686799126009085, 121.28479555287691 30.686799126009085, 121.28479555287691 30.68002312114147, 121.29533641858124 30.68002312114147))",0.0
5720,121.30587728428556,30.686799126009085,121.31641814998989,30.695808135018098,121.3111477171377,30.691303630513595,"POLYGON ((121.31641814998989 30.686799126009085, 121.31641814998989 30.695808135018098, 121.30587728428556 30.695808135018098, 121.30587728428556 30.686799126009085, 121.31641814998989 30.686799126009085))",0.0
5587,121.29533641858124,30.686799126009085,121.30587728428556,30.695808135018098,121.3006068514334,30.691303630513595,"POLYGON ((121.30587728428556 30.686799126009085, 121.30587728428556 30.695808135018098, 121.29533641858124 30.695808135018098, 121.29533641858124 30.686799126009085, 121.30587728428556 30.686799126009085))",0.0
5454,121.28479555287691,30.686799126009085,121.29533641858124,30.695808135018098,121.29006598572906,30.691303630513595,"POLYGON ((121.29533641858124 30.686799126009085, 121.29533641858124 30.695808135018098, 121.28479555287691 30.695808135018098, 121.28479555287691 30.686799126009085, 121.29533641858124 30.686799126009085))",0.0
5721,121.30587728428556,30.695808135018098,121.31641814998989,30.704817144027103,121.3111477171377,30.7003126395226,"POLYGON ((121.31641814998989 30.695808135018098, 121.31641814998989 30.704817144027103, 121.30587728428556 30.704817144027103, 121.30587728428556 30.695808135018098, 121.31641814998989 30.695808135018098))",0.0
5588,121.29533641858124,30.695808135018098,121.30587728428556,30.704817144027103,121.3006068514334,30.7003126395226,"POLYGON ((121.30587728428556 30.695808135018098, 121.30587728428556 30.704817144027103, 121.29533641858124 30.704817144027103, 121.29533641858124 30.695808135018098, 121.30587728428556 30.695808135018098))",0.0
